"","Length","Wheelbase","Width","Height","FrontHd","RearHd","FrtLegRoom","RearSeating","FrtShld","RearShld","Luggage"
"AcuraIntegra",-0.2222222,0,-0.5,-2.5,0,-0.5,0,-0.6666667,-1,-1,1
"DodgeColt",-2.2222222,-1.6,-1,0,-1,0,-2,-2,-0.5,-0.75,-1
"DodgeOmni",-1.7777778,-0.6,-0.5,1,-1,-1.5,-1,-1,-1.75,-1.5,0.5
"EagleSummit",-1,-1,-1,-0.5,2,0,-1,0,-0.75,-0.75,-2
"FordEscort",-1.1111111,-1.6,-1,1.5,0,-1,-1,-0.6666667,-1.75,-1.25,2
"FordFestiva",-4.2222222,-2.4,-2.5,2,1,1,-2,-1,-1.5,-1.5,-1
"GEOMetro",-3.2222222,-1.8,-2.5,-1.5,-2,-0.5,-1,0,-2.25,-2,-2
"GEOPrizm",-0.8888889,-1.2,-1.5,-0.5,0,-1,-2,-1.3333333,-1,-0.75,-1.5
"HondaCivic",-1.1111111,-0.8,-0.5,-2,0,0.5,-1,0,-0.75,-0.5,-1
"HyundaiExcel",-1.2222222,-1.6,-2.5,0,-2,-0.5,-1,-1,-1.5,-1.25,-1.5
"Mazda323",-1.6666667,-1,-1,-0.5,1,0.5,0,-0.3333333,-1.5,-1,-0.5
"MazdaProtege",-0.7777778,-0.8,-1,-1,1,0.5,-2,-0.6666667,-0.5,0,-0.5
"MercuryTracer",-1.8888889,-1.4,-1.5,-1,0,0,-2,-0.3333333,-1.5,-1,0.5
"MitsubishiPrecis",-2,-1.6,-2.5,0,1,1,-3,-0.6666667,-1.5,-0.75,-1.5
"NissanSentra",-0.7777778,-1.2,-1.5,-1,-1,0,-3,-2,-1.25,-0.75,-1
"PontiacLeMans",-0.7777778,-0.6,-1,0,3,0.5,0,-1.3333333,-0.75,-0.5,2
"SubaruJusty",-3.6666667,-2.4,-4,0.5,-2,-1.5,-2,-2.6666667,-2,-1.75,-2.5
"SubaruLoyale",-0.4444444,-1,-1.5,-1,-2,0,-1,0,-0.75,-0.25,0.5
"ToyotaCorolla",-1,-1.2,-1.5,-0.5,1,0,-2,-1,-1,-0.75,-1.5
"ToyotaTercel",-1.3333333,-1.6,-2,-0.5,-1,-0.5,-2,-1.6666667,-1,-0.75,-0.5
"VolkswagenFox",-1.7777778,-1.8,-2.5,-0.5,-1,0,1,-1,-1.75,-1.5,-2
"VolkswagenGolf",-2.3333333,-1,-1,1,-1,0,-1,-0.3333333,-1,-0.5,2
"VolkswagenJetta",-0.7777778,-1,-1,1,0,0.5,-1,0.3333333,-1,-0.25,1.5
"ChevroletCamaro",1.4444444,-0.2,2.5,-3.5,0,-1.5,0,-2.3333333,1.5,0.75,-1
"ChevroletCorvette",-0.2222222,-1.2,1.5,-6.5,-3,-4,1,-19.6666667,-0.5,-28,-8
"DodgeDaytona",0,-1,0.5,-3,-1,-2,-1,-3.3333333,0.5,0,1.5
"FordMustang",0.1111111,-0.2,0,-1,0,-1.5,-1,-2.3333333,0.25,0.25,-1
"FordProbe",-0.2222222,-0.6,0,-3,-1,-2,0,-2.6666667,-0.25,-1,-1
"GEOStorm",-1.7777778,-1,-0.5,-3.5,-1,-2,0,-2,-2,-3.25,-1.5
"HondaCivicCRX",-3.3333333,-2.2,-1,-5,-4,-4,2,-19.6666667,-1,-28,-8
"HondaPrelude",-0.1111111,-0.2,-0.5,-3,-4,-2,2,-2.6666667,-1.25,-1.75,-1.5
"MazdaMX5Miata",-2.6666667,-2.6,-1,-6.5,0,-4,-2,-19.6666667,-2.25,-28,-8
"MazdaMX6",-0.2222222,-0.6,-0.5,-1.5,-3,0,0,-1,0,-0.75,0.5
"MazdaRX7",-1,-1.2,-0.5,-4.5,-4,-4,1,-19.6666667,-1,-28,-8
"Nissan240SX",-0.1111111,-1,-0.5,-3.5,-1,-2,-1,-4,-0.75,-1.75,0
"Nissan300ZX",-1,-1,1.5,-5,-1,-4,1,-19.6666667,0.75,-28,-8
"NissanPulsarNX",-1.3333333,-1.2,-1,-4,1,-2,-1,-4.3333333,-1.5,-2.25,-3.5
"PlymouthLaser",-0.8888889,-1,-0.5,-3,0,-2,0,-3,-0.5,-1,-2
"Porsche944",-1.1111111,-1.4,0,-4,0,-2,4,-6.3333333,0.25,-1.25,-1
"SubaruXT",-0.1111111,-1,-0.5,-4,-3,-2,1,-3.3333333,-1,-1.5,-2
"ToyotaCelica",-0.5555556,-0.6,0.5,-3,-3,-2,1,-3,-1.75,-3,-0.5
"ToyotaSupra",0.3333333,0,0.5,-3.5,-2,-2,2,-3,-1.25,-1.75,-1.5
"VolkswagenCorrado",-2.2222222,-1,-1,-3,-3,-2,1,-1,-0.75,-1.5,2.5
"VolkswagenGTI",-2.3333333,-1,-1,0.5,0,0,0,-0.3333333,-1,0,2
"Audi80",-0.3333333,-0.4,-0.5,0.5,1,-1,1,0.3333333,-1.25,-1,-2
"BMW325i",-0.4444444,-0.2,-1.5,-0.5,-3,-1,1,-1.3333333,-1.5,-1.25,-1
"ChevroletBeretta",0.8888889,0.2,0,-1,0,-1.5,1,0,0.25,0.5,0
"ChevroletCavalier",0,-0.2,-1,0,1,1,-1,-0.6666667,-0.75,-0.25,0
"ChevroletCorsica",0.4444444,0.2,0,1,1,1,0,-0.6666667,-0.25,0.5,0
"ChryslerLeBaron",0.4444444,0.2,0,1,1,0.5,-1,2,-0.5,-0.25,0
"DodgeShadow",-0.7777778,-1,-0.5,1,1,0.5,0,-1.6666667,-0.25,-0.25,-0.5
"DodgeSpirit",0.2222222,0.2,-0.5,1,0,1,-1,2,-0.5,0.25,0
"FordTempo",-0.2222222,-0.4,0,-0.5,0,-0.5,-1,0,-1,0,-0.5
"HondaAccord",0.6666667,1,0,-0.5,2,0,1,-0.3333333,-0.25,0,0
"Mazda626",0,-0.2,-0.5,-0.5,0,0,-2,-0.3333333,0,0.5,0.5
"Mercedes-Benz190",-0.4444444,0.6,-0.5,0.5,-3,-1.5,5,-1,-0.75,-0.5,-1
"MitsubishiGalant",0.5555556,0,-0.5,0.5,1,0.5,-1,1.3333333,0,0.5,-1.5
"MitsubishiSigma",0.7777778,0,-0.5,-0.5,-4,-0.5,-3,0.3333333,-0.75,-0.5,-1
"NissanStanza",0.1111111,-0.4,-0.5,-0.5,0,0,-2,-0.6666667,0,0,0
"Peugeot405",-0.4444444,0.6,0,1,1,-0.5,-1,1,0.25,0.5,0
"PontiacGrandAm",0.1111111,0.2,-0.5,-1.5,0,-1,0,-0.6666667,0,0,-0.5
"Saab900",0.5555556,-0.6,-0.5,0.5,0,0,0,0,-1,-0.5,0
"SubaruLegacy",-0.1111111,0,-0.5,-1,-3,0,-1,0,-0.5,-0.25,0
